route_id,route_number,route_name
53639,1,LINE 1 (YONGE-UNIVERSITY)
53424,10,VAN HORNE
53425,100,FLEMINGDON PARK
53426,101,DOWNSVIEW PARK
53427,102,MARKHAM RD.
53428,104,FAYWOOD
53429,105,DUFFERIN NORTH
53430,106,SENTINEL
53431,107,ST REGIS
53432,108,DRIFTWOOD
53433,109,RANEE
53434,11,BAYVIEW
53435,110,ISLINGTON SOUTH
53436,111,EAST MALL
53437,112,WEST MALL
53438,113,DANFORTH ROAD
53439,115,SILVER HILLS
53440,116,MORNINGSIDE
53441,117,ALNESS-CHESSWOOD
53442,118,THISTLE DOWN
53443,119,TORBARRIE
53444,12,KINGSTON ROAD
53445,120,CALVINGTON
53446,121,FORT YORK - ESPLANADE
53447,122,GRAYDON HALL
53448,123,SHORNCLIFFE
53449,124,SUNNYBROOK
53450,125,DREWRY
53451,126,CHRISTIE
53452,127,DAVENPORT
53453,129,MCCOWAN NORTH
53454,130,MIDDLEFIELD
53455,131,NUGGET
53456,132,MILNER
53457,133,NEILSON
53458,134,PROGRESS
53459,135,GERRARD
53460,14,GLENCAIRN
53461,141,DOWNTOWN/MT.PLEASANT EXPRESS
53462,142,DOWNTOWN/AVENUE RD. EXPRESS
53463,143,DOWNTOWN\BEACH EXPRESS
53464,144,DOWNTOWN/DON VALLEY EXPRESS
53465,145,DOWNTOWN/HUMBER BAY EXPRESS
53466,15,EVANS
53467,16,McCOWAN
53468,160,BATHURST NORTH
53469,161,ROGERS ROAD
53470,162,LAWRENCE-DONWAY
53471,165,WESTON RD. NORTH
53472,167,PHARMACY NORTH
53473,168,SYMINGTON
53474,169,HUNTINGWOOD
53475,17,BIRCHMOUNT
53476,171,MOUNT DENNIS
53477,172,CHERRY STREET
53478,185,DON MILLS ROCKET
53479,186,WILSON ROCKET
53480,188,KIPLING SOUTH ROCKET
53481,190,SCARB.CENTRE ROCKET
53482,191,HIGHWAY 27 ROCKET
53483,192,AIRPORT ROCKET
53484,193,EXHIBITION ROCKET
53485,195,JANE ROCKET
53486,196,YORK UNIVERSITY ROCKET
53487,198,U of T SCARBOROUGH ROCKET
53488,199,FINCH ROCKET
53640,2,LINE 2 (BLOOR - DANFORTH)
53489,20,CLIFFSIDE
53490,21,BRIMLEY
53491,22,COXWELL
53492,224,VICTORIA PARK NORTH
53493,23,DAWES
53494,24,VICTORIA PARK
53495,25,DON MILLS
53496,26,DUPONT
53497,28,BAYVIEW SOUTH
53498,29,DUFFERIN
53641,3,LINE 3 (SCARBOROUGH)
53499,30,LAMBTON
53500,300,BLOOR-DANFORTH NIGHT BUS
53501,301,QUEEN N.C.
53502,302,KINGSTON RD-McCOWAN NIGHT BUS
53503,304,KING N.C.
53504,306,CARLTON
53505,307,BATHURST NIGHT BUS
53506,31,GREENWOOD
53507,310,SPADINA N.C.
53508,312,ST.CLAIR-JUNCTION NIGHT BUS
53509,315,EVANS - BROWN'S LINE NIGHT BUS
53510,32,EGLINTON WEST
53511,320,YONGE NIGHT BUS
53512,322,COXWELL NIGHT BUS
53513,324,VICTORIA PARK NIGHT BUS
53514,325,DON MILLS NIGHT BUS
53515,329,DUFFERIN NIGHT BUS
53516,33,FOREST HILL
53517,332,EGLINTON WEST NIGHT BUS
53518,334,EGLINTON EAST NIGHT BUS
53519,335,JANE NIGHT BUS
53520,336,FINCH WEST NIGHT BUS
53521,337,ISLINGTON NIGHT BUS
53522,339,FINCH EAST NIGHT BUS
53523,34,EGLINTON EAST
53524,341,KEELE NIGHT BUS
53525,343,KENNEDY NIGHT BUS
53526,35,JANE
53527,352,LAWRENCE WEST NIGHT BUS
53528,353,STEELES NIGHT BUS
53529,354,LAWRENCE EAST NIGHT BUS
53530,36,FINCH WEST
53531,363,OSSINGTON NIGHT BUS
53532,365,PARLIAMENT NIGHT BUS
53533,37,ISLINGTON
53534,38,HIGHLAND CREEK
53535,384,SHEPPARD WEST NIGHT BUS
53536,385,SHEPPARD EAST NIGHT BUS
53537,39,FINCH EAST
53538,395,YORK MILLS NIGHT BUS
53539,396,WILSON NIGHT BUS
53642,4,LINE 4 (SHEPPARD)
53540,40,JUNCTION
53541,400,LAWRENCE MANOR
53544,404,EAST YORK
53546,41,KEELE
53547,42,CUMMER
53548,43,KENNEDY
53549,44,KIPLING SOUTH
53550,45,KIPLING
53551,46,MARTIN GROVE
53552,47,LANSDOWNE
53553,48,RATHBURN
53554,49,BLOOR WEST
53555,5,AVENUE ROAD
53556,50,BURNHAMTHORPE
53557,501,QUEEN S.C.
53558,502,DOWNTOWNER
53559,503,KINGSTON RD. TRIPPER
53560,504,KING S.C.
53561,505,DUNDAS S.C.
53562,506,CARLTON S.C.
53563,508,LAKE SHORE RD.
53564,509,HARBOURFRONT
53565,51,LESLIE
53566,510,SPADINA
53567,511,BATHURST
53568,512,ST. CLAIR
53569,514,CHERRY
53570,52,LAWRENCE WEST
53571,53,STEELES EAST
53572,54,LAWRENCE EAST
53573,55,WARREN PARK
53574,56,LEASIDE
53575,57,MIDLAND
53576,59,MAPLE LEAF
53577,6,BAY
53578,60,STEELES WEST
53579,61,AVENUE ROAD NORTH
53580,62,MORTIMER
53581,63,OSSINGTON
53582,64,MAIN
53583,65,PARLIAMENT
53584,66,PRINCE EDWARD
53585,67,PHARMACY
53586,68,WARDEN
53587,69,WARDEN SOUTH
53588,7,BATHURST
53589,70,O'CONNOR
53590,71,RUNNYMEDE
53591,72,PAPE
53592,73,ROYAL YORK
53593,74,MOUNT PLEASANT
53594,75,SHERBOURNE
53595,76,ROYAL YORK SOUTH
53596,77,SWANSEA
53597,78,ST. ANDREWS
53598,79,SCARLETT RD.
53599,8,BROADVIEW
53600,80,QUEENSWAY
53601,81,THORNCLIFFE PARK
53602,82,ROSEDALE
53603,83,JONES
53604,84,SHEPPARD WEST
53605,85,SHEPPARD EAST
53606,86,SCARBOROUGH
53607,87,COSBURN
53608,88,SOUTH LEASIDE
53609,89,WESTON
53610,9,BELLAMY
53611,90,VAUGHAN
53612,91,WOODBINE
53613,92,WOODBINE SOUTH
53614,93,PARKVIEW HILLS
53615,94,WELLESLEY
53616,95,YORK MILLS
53617,96,WILSON
53618,97,YONGE
53619,98,WILLOWDALE-SENLAC
53620,99,ARROW ROAD